type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2021-02-02 11:52:32+0000,3788,0.0,1.8000001,0.0,0.0,182.0
9,2021-02-02 11:26:42+0000,719,1.312336,0.081839755,3464.0,0.20755884,101.0
9,2021-01-30 15:13:49+0000,4010,2.857143,0.14224751,8223.0,0.4875219,397.0
9,2021-01-30 14:23:51+0000,2393,2.857143,0.15403573,7546.0,0.31697422,295.0
9,2021-01-30 14:09:16+0000,524,1.1764705,0.18942982,419.0,1.2455337,35.0
9,2021-01-30 13:04:24+0000,1995,4.7393365,0.055002477,10728.0,0.18594599,248.0
9,2021-01-29 12:52:17+0000,960,0.74515647,0.067367285,3416.0,0.28099087,100.0
16,2021-01-29 11:38:22+0000,4164,0.0,1.8000001,0.0,0.0,285.0
9,2021-01-29 11:18:43+0000,788,0.8756568,0.07201498,3478.0,0.2265539,114.0
9,2021-01-29 00:12:20+0000,2266,1.55521,0.06895125,10765.0,0.21038634,277.0
9,2021-01-28 19:37:11+0000,1814,1.8761727,0.05466273,10016.0,0.18100995,198.0
9,2021-01-27 12:19:34+0000,919,0.92764384,0.08618461,3256.0,0.2819258,52.0
16,2021-01-27 11:06:30+0000,4079,0.0,1.8000001,0.0,0.0,221.0
9,2021-01-27 10:47:07+0000,784,9.708738,0.06619886,3464.0,0.22598971,54.0
9,2021-01-26 12:17:19+0000,1156,0.7751938,0.06694785,3350.0,0.3450536,105.0
16,2021-01-26 11:07:15+0000,3901,0.0,1.8000001,0.0,0.0,222.0
9,2021-01-26 10:48:45+0000,759,0.7429421,0.076781325,3463.0,0.21912888,83.0
9,2021-01-25 21:36:56+0000,2301,0.84745765,0.07100256,10600.0,0.21706493,240.0
9,2021-01-25 15:30:03+0000,3157,0.99601597,0.15073863,8948.0,0.35268116,287.0
9,2021-01-25 14:32:16+0000,1380,0.74515647,0.100765824,6500.0,0.21213076,145.0
16,2021-01-25 13:19:53+0000,3695,0.0,1.8000001,0.0,0.0,198.0
9,2021-01-25 12:58:52+0000,718,8.849558,0.05548158,3444.0,0.20846404,86.0
9,2021-01-23 14:08:15+0000,2818,3.3444817,0.074239045,11132.0,0.25303277,244.0
9,2021-01-23 12:54:46+0000,1882,0.7651109,0.06454111,9940.0,0.18921982,192.0
9,2021-01-12 11:34:58+0000,1177,3.3444817,0.081413336,2325.0,0.5058034,90.0
16,2021-01-12 10:28:38+0000,3667,0.0,1.8000001,0.0,0.0,158.0
9,2021-01-12 10:02:32+0000,972,1.552795,0.06697924,3481.0,0.278863,58.0
9,2021-01-11 19:41:07+0000,1698,0.952381,0.09347542,6536.0,0.25963265,156.0
9,2021-01-11 15:56:11+0000,2145,1.4513788,0.066997185,10836.0,0.19785763,314.0
9,2021-01-11 11:29:50+0000,948,0.8403361,0.07197351,3450.0,0.27445316,95.0
16,2021-01-11 10:22:38+0000,3792,0.0,1.8000001,0.0,0.0,216.0
9,2021-01-11 10:02:42+0000,758,0.9643202,0.061534677,3473.0,0.21820165,95.0
9,2021-01-09 00:25:03+0000,2357,2.3094687,0.07433839,10695.0,0.22027981,298.0
9,2021-01-08 19:55:10+0000,2425,1.7482517,0.08267879,11016.0,0.22002906,243.0
9,2021-01-08 12:08:39+0000,1013,0.78431374,0.078339204,3528.0,0.28680763,91.0
16,2021-01-08 10:59:12+0000,3935,0.0,1.8000001,0.0,0.0,189.0
9,2021-01-08 10:39:35+0000,709,1.9920319,0.06447869,3446.0,0.20543744,73.0
9,2021-01-07 12:42:48+0000,964,1.5797788,0.07443245,3456.0,0.27889943,93.0
16,2021-01-07 11:32:36+0000,3921,0.0,1.8000001,0.0,0.0,240.0
9,2021-01-07 11:11:45+0000,763,0.73909825,0.07531822,3456.0,0.22074045,71.0
9,2021-01-06 19:12:24+0000,1589,1.3157895,0.081004456,6612.0,0.2401471,140.0
9,2021-01-06 17:41:47+0000,2457,3.846154,0.13892747,5702.0,0.43068334,299.0
9,2021-01-06 15:53:00+0000,1271,1.0416667,0.083243154,6398.0,0.19847095,178.0
9,2021-01-06 13:23:51+0000,732,0.6798097,0.09200478,4097.0,0.17841798,101.0
9,2021-01-06 12:13:01+0000,924,0.97087383,0.07184424,3450.0,0.26752627,78.0
16,2021-01-06 10:57:50+0000,4032,0.0,1.8000001,0.0,0.0,199.0
9,2021-01-06 10:39:50+0000,691,1.0351967,0.060277276,3446.0,0.20021026,90.0
9,2021-01-05 14:38:18+0000,2419,1.0964912,0.07159221,10313.0,0.23445521,229.0
9,2021-01-05 12:42:52+0000,1504,0.7401925,0.105064094,7430.0,0.20240411,155.0
16,2021-01-05 11:30:58+0000,3786,0.0,1.8000001,0.0,0.0,242.0
9,2021-01-05 11:12:16+0000,689,2.9498527,0.06086057,3431.0,0.20048991,69.0
16,2020-12-31 10:21:17+0000,3600,0.0,1.8000001,0.0,0.0,209.0
9,2020-12-30 21:40:49+0000,2481,8.62069,0.080638655,10576.0,0.23458692,197.0
9,2020-12-30 18:23:19+0000,2103,1.5384616,0.064708166,10748.0,0.19556104,254.0
9,2020-12-30 13:38:48+0000,1047,2.0920503,0.06801333,3588.0,0.29175356,86.0
16,2020-12-30 12:21:46+0000,4270,0.0,1.8000001,0.0,0.0,227.0
9,2020-12-30 12:00:55+0000,801,1.459854,0.059573457,3591.0,0.22273846,78.0
9,2020-12-30 02:22:12+0000,2301,1.1494253,0.06972042,10777.0,0.21350867,326.0
9,2020-12-29 19:26:36+0000,2035,1.9011406,0.055254724,10242.0,0.1986821,237.0
9,2020-12-29 12:42:15+0000,1020,0.83892614,0.06906554,3485.0,0.2923931,67.0
16,2020-12-29 11:31:54+0000,3947,0.0,1.8000001,0.0,0.0,211.0
9,2020-12-29 11:12:37+0000,740,0.9606148,0.05663797,3497.0,0.21126993,83.0
